Product ID,Name,Model,SKU,Description,Meta Tag Description,Meta Tag Keywords,Tags,UPC,EAN,JAN,ISBN,MPN,Price,Location,Status,Tax Class,Quantity,Minimum Quantity,Image,Subtract Stock,Out Of Stock Status,Requires Shipping,SEO Keyword,Date Available,Length,Width,Height,Length Class,Weight,Weight Class,Sort Order,Reward Points,Manufacturer,Categories,Filters,Stores,Downloads,Related Products,Meta Title
,A.K. Green Peas,ALM000,104040209611.0,A.K. Green Peas,A.K. Green Peas, , ,,,,,,56.25,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/A.K. GREEN PEAS.jpg,Yes,,,a-k-green-peas,29/08/2023,,,,,,,0.0,,AL Maya,466.0,,0.0,,,A.K. Green Peas
,Acorsa Capers,ALM001,8428916988601.0,Acorsa Capers,Acorsa Capers, , ,,,,,,90.625,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA CAPERS.jpg,Yes,,,acorsa-capers,29/08/2023,,,,,,,1.0,,AL Maya,466.0,,0.0,,,Acorsa Capers
,Acorsa Olives A10 Sliced Black,ALM002,8428916020707.0,Acorsa Olives A10 Sliced Black,Acorsa Olives A10 Sliced Black, , ,,,,,,192.5,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA OLIVES A10 SLICED BLACK.jpg,Yes,,,acorsa-olives-a10-sliced-black,29/08/2023,,,,,,,2.0,,AL Maya,466.0,,0.0,,,Acorsa Olives A10 Sliced Black
,Acorsa Olives A10 Sliced Green,ALM003,8428916880707.0,Acorsa Olives A10 Sliced Green,Acorsa Olives A10 Sliced Green, , ,,,,,,200.625,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA OLIVES A10 SLICED GREEN.jpg,Yes,,,acorsa-olives-a10-sliced-green,29/08/2023,,,,,,,3.0,,AL Maya,466.0,,0.0,,,Acorsa Olives A10 Sliced Green
,Acorsa Olives Black Pitted Jar,ALM004,8428916017707.0,Acorsa Olives Black Pitted Jar,Acorsa Olives Black Pitted Jar, , ,,,,,,102.5,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA OLIVES BLACK PITTED JAR.jpg,Yes,,,acorsa-olives-black-pitted-jar,29/08/2023,,,,,,,4.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Black Pitted Jar
,Acorsa Olives Black Plain Jar,ALM005,8428916008309.0,Acorsa Olives Black Plain Jar,Acorsa Olives Black Plain Jar, , ,,,,,,98.75,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA OLIVES BLACK PLAIN JAR.jpg,Yes,,,acorsa-olives-black-plain-jar,29/08/2023,,,,,,,5.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Black Plain Jar
,Acorsa Olives Black Plain Jar,ALM006,8428916009504.0,Acorsa Olives Black Plain Jar,Acorsa Olives Black Plain Jar, , ,,,,,,107.5,AL Maya Group,,Taxable Good,100.0,1.0,,Yes,,,acorsa-olives-black-plain-jar,29/08/2023,,,,,,,6.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Black Plain Jar
,Acorsa Olives Black Sliced Jar,ALM007,8428916027805.0,Acorsa Olives Black Sliced Jar,Acorsa Olives Black Sliced Jar, , ,,,,,,131.875,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA OLIVES BLACK SLICED JAR.jpg,Yes,,,acorsa-olives-black-sliced-jar,29/08/2023,,,,,,,7.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Black Sliced Jar
,Acorsa Olives Black Sliced Jar,ALM008,8428916029205.0,Acorsa Olives Black Sliced Jar,Acorsa Olives Black Sliced Jar, , ,,,,,,119.375,AL Maya Group,,Taxable Good,100.0,1.0,,Yes,,,acorsa-olives-black-sliced-jar,29/08/2023,,,,,,,8.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Black Sliced Jar
,Acorsa Olives Bulk Plain Black,ALM009,8428916193203.0,Acorsa Olives Bulk Plain Black,Acorsa Olives Bulk Plain Black, , ,,,,,,116.25,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA OLIVES BULK PLAIN BLACK.jpg,Yes,,,acorsa-olives-bulk-plain-black,29/08/2023,,,,,,,9.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Bulk Plain Black
,Acorsa Olives Bulk Plain Green,ALM010,8428916843207.0,Acorsa Olives Bulk Plain Green,Acorsa Olives Bulk Plain Green, , ,,,,,,120.625,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA OLIVES BULK PLAIN GREEN.jpg,Yes,,,acorsa-olives-bulk-plain-green,29/08/2023,,,,,,,10.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Bulk Plain Green
,Acorsa Olives Green Pitted Jar,ALM011,8428916877707.0,Acorsa Olives Green Pitted Jar,Acorsa Olives Green Pitted Jar, , ,,,,,,111.25,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA OLIVES GREEN PITTED JAR.jpg,Yes,,,acorsa-olives-green-pitted-jar,29/08/2023,,,,,,,11.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Green Pitted Jar
,Acorsa Olives Green Plain Jar,ALM012,8428916848301.0,Acorsa Olives Green Plain Jar,Acorsa Olives Green Plain Jar, , ,,,,,,98.75,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA OLIVES GREEN PLAIN JAR.jpg,Yes,,,acorsa-olives-green-plain-jar,29/08/2023,,,,,,,12.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Green Plain Jar
,Acorsa Olives Green Plain Jar,ALM013,8428916849506.0,Acorsa Olives Green Plain Jar,Acorsa Olives Green Plain Jar, , ,,,,,,111.25,AL Maya Group,,Taxable Good,100.0,1.0,,Yes,,,acorsa-olives-green-plain-jar,29/08/2023,,,,,,,13.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Green Plain Jar
,Acorsa Olives Green Plain Jar,ALM014,8428916847908.0,Acorsa Olives Green Plain Jar,Acorsa Olives Green Plain Jar, , ,,,,,,128.125,AL Maya Group,,Taxable Good,100.0,1.0,,Yes,,,acorsa-olives-green-plain-jar,29/08/2023,,,,,,,14.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Green Plain Jar
,Acorsa Olives Green Sliced Jar,ALM015,8428916887805.0,Acorsa Olives Green Sliced Jar,Acorsa Olives Green Sliced Jar, , ,,,,,,140.0,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA OLIVES GREEN SLICED JAR.jpg,Yes,,,acorsa-olives-green-sliced-jar,29/08/2023,,,,,,,15.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Green Sliced Jar
,Acorsa Olives Green Sliced Jar,ALM016,8428916889205.0,Acorsa Olives Green Sliced Jar,Acorsa Olives Green Sliced Jar, , ,,,,,,128.125,AL Maya Group,,Taxable Good,100.0,1.0,,Yes,,,acorsa-olives-green-sliced-jar,29/08/2023,,,,,,,16.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Green Sliced Jar
,Acorsa Olives Green Stufed Jar,ALM017,8428916868309.0,Acorsa Olives Green Stufed Jar,Acorsa Olives Green Stufed Jar, , ,,,,,,102.5,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA OLIVES GREEN STUFED JAR.jpg,Yes,,,acorsa-olives-green-stufed-jar,29/08/2023,,,,,,,17.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Green Stufed Jar
,Acorsa Olives Green Stufed Jar,ALM018,8428916869504.0,Acorsa Olives Green Stufed Jar,Acorsa Olives Green Stufed Jar, , ,,,,,,116.25,AL Maya Group,,Taxable Good,100.0,1.0,,Yes,,,acorsa-olives-green-stufed-jar,29/08/2023,,,,,,,18.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Green Stufed Jar
,Acorsa Olives Green Stufed Jar,ALM019,8428916867906.0,Acorsa Olives Green Stufed Jar,Acorsa Olives Green Stufed Jar, , ,,,,,,134.375,AL Maya Group,,Taxable Good,100.0,1.0,,Yes,,,acorsa-olives-green-stufed-jar,29/08/2023,,,,,,,19.0,,AL Maya,466.0,,0.0,,,Acorsa Olives Green Stufed Jar
,Acorsa Soul Olive Black,ALM020,8422767293990.0,Acorsa Soul Olive Black,Acorsa Soul Olive Black, , ,,,,,,51.75,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/ACORSA SOUL OLIVE BLACK.jpg,Yes,,,acorsa-soul-olive-black,29/08/2023,,,,,,,20.0,,AL Maya,466.0,,0.0,,,Acorsa Soul Olive Black
